Auction ID,Client ID,Client Name,Address 1,Address 2,Address 3,Province,Contact Person,Phone,Phone 2,Email,Preferred Number,Total Value,Attendance
1621,BRE87,Brent Ramirez,2177 Rntrami Road,RD12,Timaru,South Canterbury,Brent Ramirez,(03)358-8312,(021)353-3396,Brent.Ramirez@emailProvide.co.nz,58,"N,"N
1619,BRI76,Bright Farms,2679 Bightfa Road,RD10,Oamaru,North Otago,Tanya Bright,(03)489-4659,(021)554-4681,Bright.Farms@emailProvide.co.nz,74,584594,"N
1620,BRI76,Bright Farms,2679 Bightfa Road,RD10,Oamaru,North Otago,Tanya Bright,(03)489-4659,(021)554-4681,Bright.Farms@emailProvide.co.nz,74,584594,"N
1621,BRI76,Bright Farms,2679 Bightfa Road,RD10,Oamaru,North Otago,Tanya Bright,(03)489-4659,(021)554-4681,Bright.Farms@emailProvide.co.nz,74,584594,"N
1619,BRO56,Brody Stanley,4381 Sdystanley Road,RD5,Timaru,South Canterbury,Brody Stanley,(03)476-7728,(021)266-5114,Brody.Stanley@emailProvide.co.nz,70,59427,"N
1620,BRO56,Brody Stanley,4381 Sdystanley Road,RD5,Timaru,South Canterbury,Brody Stanley,(03)476-7728,(021)266-5114,Brody.Stanley@emailProvide.co.nz,70,59427,"N
1621,BRO56,Brody Stanley,4381 Sdystanley Road,RD5,Timaru,South Canterbury,Brody Stanley,(03)476-7728,(021)266-5114,Brody.Stanley@emailProvide.co.nz,70,59427,"N
1619,BUR94,Burch Farms,3685 Burchfar Road,RD4,Oamaru,North Otago,Dana Burch,(03)099-8020,(021)524-7117,Burch.Farms@emailProvide.co.nz,41,45772,"N
1620,BUR94,Burch Farms,3685 Burchfar Road,RD4,Oamaru,North Otago,Dana Burch,(03)099-8020,(021)524-7117,Burch.Farms@emailProvide.co.nz,41,45772,"N
1621,BUR94,Burch Farms,3685 Burchfar Road,RD4,Oamaru,North Otago,Dana Burch,(03)099-8020,(021)524-7117,Burch.Farms@emailProvide.co.nz,41,45772,"N
1619,CAM40,Camden Hatfield,3276 Hamdenhatf Road,RD13,Timaru,South Canterbury,Camden Hatfield,(03)420-8856,(021)947-4638,Camden.Hatfield@emailProvide.co.nz,62,769509,"N
1620,CAM40,Camden Hatfield,3276 Hamdenhatf Road,RD13,Timaru,South Canterbury,Camden Hatfield,(03)420-8856,(021)947-4638,Camden.Hatfield@emailProvide.co.nz,62,769509,"N
1621,CAM40,Camden Hatfield,3276 Hamdenhatf Road,RD13,Timaru,South Canterbury,Camden Hatfield,(03)420-8856,(021)947-4638,Camden.Hatfield@emailProvide.co.nz,62,769509,"N
1619,CAR58,Carr Farms,4404 Cfarms Road,RD6,Timaru,South Canterbury,Xenos Carr,(03)197-5936,(021)320-9170,Carr.Farms@emailProvide.co.nz,43,29366,"N
1620,CAR58,Carr Farms,4404 Cfarms Road,RD6,Timaru,South Canterbury,Xenos Carr,(03)197-5936,(021)320-9170,Carr.Farms@emailProvide.co.nz,43,29366,"N
1621,CAR58,Carr Farms,4404 Cfarms Road,RD6,Timaru,South Canterbury,Xenos Carr,(03)197-5936,(021)320-9170,Carr.Farms@emailProvide.co.nz,43,29366,"N
1619,CEC74,Cecilia Trading,2439 Ailiat Road,RD12,Waimate,South Canterbury,Cecilia Alexander,(03)092-1449,(021)139-1323,Cecilia.Trading@emailProvide.co.nz,37,15641,"N
1620,CEC74,Cecilia Trading,2439 Ailiat Road,RD12,Waimate,South Canterbury,Cecilia Alexander,(03)092-1449,(021)139-1323,Cecilia.Trading@emailProvide.co.nz,37,15641,"N
1621,CEC74,Cecilia Trading,2439 Ailiat Road,RD12,Waimate,South Canterbury,Cecilia Alexander,(03)092-1449,(021)139-1323,Cecilia.Trading@emailProvide.co.nz,37,15641,"N
1619,CED89,Cedric Cummings,2780 Cedric Road,RD11,Timaru,South Canterbury,Cedric Cummings,(03)773-1477,(021)395-3023,Cedric.Cummings@emailProvide.co.nz,"N,61187,"N
1620,CED89,Cedric Cummings,2780 Cedric Road,RD11,Timaru,South Canterbury,Cedric Cummings,(03)773-1477,(021)395-3023,Cedric.Cummings@emailProvide.co.nz,"N,61187,"N
1621,CED89,Cedric Cummings,2780 Cedric Road,RD11,Timaru,South Canterbury,Cedric Cummings,(03)773-1477,(021)395-3023,Cedric.Cummings@emailProvide.co.nz,"N,61187,"N
1620,CHA55,Chase Mccormick,2246 Msemc Road,RD12,Timaru,South Canterbury,Chase Mccormick,(03)919-2133,(021)238-5471,Chase.Mccormick@emailProvide.co.nz,"N,73705,"N
1619,CHA55,Chase Mccormick,2246 Msemc Road,RD12,Timaru,South Canterbury,Chase Mccormick,(03)919-2133,(021)238-5471,Chase.Mccormick@emailProvide.co.nz,"N,73705,"N
1621,CHA55,Chase Mccormick,2246 Msemc Road,RD12,Timaru,South Canterbury,Chase Mccormick,(03)919-2133,(021)238-5471,Chase.Mccormick@emailProvide.co.nz,"N,73705,"N
1619,DAN83,Daniel Farms,4250 Dielfa Road,RD7,Oamaru,North Otago,Geraldine Daniel,(03)164-8667,(021)241-5183,Daniel.Farms@emailProvide.co.nz,42,45878,"N
1620,DAN83,Daniel Farms,4250 Dielfa Road,RD7,Oamaru,North Otago,Geraldine Daniel,(03)164-8667,(021)241-5183,Daniel.Farms@emailProvide.co.nz,42,45878,"N
1621,DAN83,Daniel Farms,4250 Dielfa Road,RD7,Oamaru,North Otago,Geraldine Daniel,(03)164-8667,(021)241-5183,Daniel.Farms@emailProvide.co.nz,42,45878,"N
1619,DIL15,Dillard Farms,307 Dillardf Road,RD5,Timaru,South Canterbury,Eaton Dillard,(03)504-5836,(021)984-2181,Dillard.Farms@emailProvide.co.nz,78,532100,"N
1620,DIL15,Dillard Farms,307 Dillardf Road,RD5,Timaru,South Canterbury,Eaton Dillard,(03)504-5836,(021)984-2181,Dillard.Farms@emailProvide.co.nz,78,532100,"N
1621,DIL15,Dillard Farms,307 Dillardf Road,RD5,Timaru,South Canterbury,Eaton Dillard,(03)504-5836,(021)984-2181,Dillard.Farms@emailProvide.co.nz,78,532100,"N
1619,EME54,Emery Mendoza,953 Mrymendo Road,RD10,Oamaru,North Otago,Emery Mendoza,(03)599-0790,(021)847-8890,Emery.Mendoza@emailProvide.co.nz,"N,75481,"N
1620,EME54,Emery Mendoza,953 Mrymendo Road,RD10,Oamaru,North Otago,Emery Mendoza,(03)599-0790,(021)847-8890,Emery.Mendoza@emailProvide.co.nz,"N,75481,"N
1621,EME54,Emery Mendoza,953 Mrymendo Road,RD10,Oamaru,North Otago,Emery Mendoza,(03)599-0790,(021)847-8890,Emery.Mendoza@emailProvide.co.nz,"N,75481,"N
1620,EVE64,Everett Farms,653 Erettfarm Road,RD12,Waimate,South Canterbury,Maxine Everett,(03)559-9273,(021)911-6160,Everett.Farms@emailProvide.co.nz,"N,32949,"N
1621,EVE64,Everett Farms,653 Erettfarm Road,RD12,Waimate,South Canterbury,Maxine Everett,(03)559-9273,(021)911-6160,Everett.Farms@emailProvide.co.nz,"N,32949,"N
1619,EVE64,Everett Farms,653 Erettfarm Road,RD12,Waimate,South Canterbury,Maxine Everett,(03)559-9273,(021)911-6160,Everett.Farms@emailProvide.co.nz,"N,32949,"N
1620,FIT70,Fitzpatrick Farms,4528 Fpatrickf Road,RD4,Timaru,South Canterbury,Ferris Fitzpatrick,(03)634-4400,(021)321-2800,Fitzpatrick.Farms@emailProvide.co.nz,"N,138799,"N
1621,FIT70,Fitzpatrick Farms,4528 Fpatrickf Road,RD4,Timaru,South Canterbury,Ferris Fitzpatrick,(03)634-4400,(021)321-2800,Fitzpatrick.Farms@emailProvide.co.nz,"N,138799,"N
1619,FIT70,Fitzpatrick Farms,4528 Fpatrickf Road,RD4,Timaru,South Canterbury,Ferris Fitzpatrick,(03)634-4400,(021)321-2800,Fitzpatrick.Farms@emailProvide.co.nz,"N,138799,"N
1619,FRA57,Francesca Holland,327 Hcesca Road,RD5,Timaru,South Canterbury,Francesca Holland,(03)565-2287,(021)963-9317,Francesca.Holland@emailProvide.co.nz,"N,"N,"N
1620,FRA57,Francesca Holland,327 Hcesca Road,RD5,Timaru,South Canterbury,Francesca Holland,(03)565-2287,(021)963-9317,Francesca.Holland@emailProvide.co.nz,"N,"N,"N
1621,FRA57,Francesca Holland,327 Hcesca Road,RD5,Timaru,South Canterbury,Francesca Holland,(03)565-2287,(021)963-9317,Francesca.Holland@emailProvide.co.nz,"N,"N,"N
1619,GAN56,Gannon Trading,3361 Bnnontradi Road,RD7,Oamaru,North Otago,Gannon Battle,(03)358-7914,(021)710-1279,Gannon.Trading@emailProvide.co.nz,57,103236,"N
1620,GAN56,Gannon Trading,3361 Bnnontradi Road,RD7,Oamaru,North Otago,Gannon Battle,(03)358-7914,(021)710-1279,Gannon.Trading@emailProvide.co.nz,57,103236,"N
1621,GAN56,Gannon Trading,3361 Bnnontradi Road,RD7,Oamaru,North Otago,Gannon Battle,(03)358-7914,(021)710-1279,Gannon.Trading@emailProvide.co.nz,57,103236,"N
1619,GER44,Germane Blackburn,3046 Brmane Road,RD15,Ashburton,Mid Canterbury,Germane Blackburn,(03)527-0752,(021)608-1879,Germane.Blackburn@emailProvide.co.nz,85,95837,"N
1620,GER44,Germane Blackburn,3046 Brmane Road,RD15,Ashburton,Mid Canterbury,Germane Blackburn,(03)527-0752,(021)608-1879,Germane.Blackburn@emailProvide.co.nz,85,95837,"N
1621,GER44,Germane Blackburn,3046 Brmane Road,RD15,Ashburton,Mid Canterbury,Germane Blackburn,(03)527-0752,(021)608-1879,Germane.Blackburn@emailProvide.co.nz,85,95837,"N
1620,GIL21,Gill Farms,1960 Gfarms Road,RD11,Timaru,South Canterbury,Igor Gill,(03)891-4722,(021)335-7845,Gill.Farms@emailProvide.co.nz,"N,32221,"N
1621,GIL21,Gill Farms,1960 Gfarms Road,RD11,Timaru,South Canterbury,Igor Gill,(03)891-4722,(021)335-7845,Gill.Farms@emailProvide.co.nz,"N,32221,"N
1619,GIL21,Gill Farms,1960 Gfarms Road,RD11,Timaru,South Canterbury,Igor Gill,(03)891-4722,(021)335-7845,Gill.Farms@emailProvide.co.nz,"N,32221,"N
1619,GRA33,Grady Blevins,1814 Byble Road,RD12,Oamaru,North Otago,Grady Blevins,(03)883-3196,(021)253-9109,Grady.Blevins@emailProvide.co.nz,"N,43914,"N
1620,GRA33,Grady Blevins,1814 Byble Road,RD12,Oamaru,North Otago,Grady Blevins,(03)883-3196,(021)253-9109,Grady.Blevins@emailProvide.co.nz,"N,43914,"N
1621,GRA33,Grady Blevins,1814 Byble Road,RD12,Oamaru,North Otago,Grady Blevins,(03)883-3196,(021)253-9109,Grady.Blevins@emailProvide.co.nz,"N,43914,"N
1619,HAN72,Hanna Collier,4500 Ccollier Road,RD9,Waimate,South Canterbury,Hanna Collier,(03)762-0483,(021)576-1295,Hanna.Collier@emailProvide.co.nz,"N,"N,"N
1620,HAN72,Hanna Collier,4500 Ccollier Road,RD9,Waimate,South Canterbury,Hanna Collier,(03)762-0483,(021)576-1295,Hanna.Collier@emailProvide.co.nz,"N,"N,"N
1621,HAN72,Hanna Collier,4500 Ccollier Road,RD9,Waimate,South Canterbury,Hanna Collier,(03)762-0483,(021)576-1295,Hanna.Collier@emailProvide.co.nz,"N,"N,"N
1619,HAR50,Hardin Farms,491 Hdinfa Road,RD10,Oamaru,North Otago,Lani Hardin,(03)525-1909,(021)571-7599,Hardin.Farms@emailProvide.co.nz,84,108119,"N
1620,HAR50,Hardin Farms,491 Hdinfa Road,RD10,Oamaru,North Otago,Lani Hardin,(03)525-1909,(021)571-7599,Hardin.Farms@emailProvide.co.nz,84,108119,"N
1621,HAR50,Hardin Farms,491 Hdinfa Road,RD10,Oamaru,North Otago,Lani Hardin,(03)525-1909,(021)571-7599,Hardin.Farms@emailProvide.co.nz,84,108119,"N
1619,HAS41,Hasad Harrington,2424 Hasadhar Road,RD10,Ashburton,Mid Canterbury,Hasad Harrington,(03)495-3350,(021)335-9858,Hasad.Harrington@emailProvide.co.nz,76,91018,"N
1620,HAS41,Hasad Harrington,2424 Hasadhar Road,RD10,Ashburton,Mid Canterbury,Hasad Harrington,(03)495-3350,(021)335-9858,Hasad.Harrington@emailProvide.co.nz,76,91018,"N
1621,HAS41,Hasad Harrington,2424 Hasadhar Road,RD10,Ashburton,Mid Canterbury,Hasad Harrington,(03)495-3350,(021)335-9858,Hasad.Harrington@emailProvide.co.nz,76,91018,"N
1619,HER18,Hermione Compton,1839 Conecompto Road,RD6,Waimate,South Canterbury,Hermione Compton,(03)094-7221,(021)630-8131,Hermione.Compton@emailProvide.co.nz,38,75299,"N
1620,HER18,Hermione Compton,1839 Conecompto Road,RD6,Waimate,South Canterbury,Hermione Compton,(03)094-7221,(021)630-8131,Hermione.Compton@emailProvide.co.nz,38,75299,"N
1621,HER18,Hermione Compton,1839 Conecompto Road,RD6,Waimate,South Canterbury,Hermione Compton,(03)094-7221,(021)630-8131,Hermione.Compton@emailProvide.co.nz,38,75299,"N
1619,HUM53,Humphrey Farms,4635 Humphreyfa Road,RD6,Waimate,South Canterbury,Carson Humphrey,(03)551-7583,(021)969-2908,Humphrey.Farms@emailProvide.co.nz,"N,26903,"N
1620,HUM53,Humphrey Farms,4635 Humphreyfa Road,RD6,Waimate,South Canterbury,Carson Humphrey,(03)551-7583,(021)969-2908,Humphrey.Farms@emailProvide.co.nz,"N,26903,"N
1621,HUM53,Humphrey Farms,4635 Humphreyfa Road,RD6,Waimate,South Canterbury,Carson Humphrey,(03)551-7583,(021)969-2908,Humphrey.Farms@emailProvide.co.nz,"N,26903,"N
1619,ILL83,Illiana Maldonado,187 Mllianamal Road,RD7,Waimate,South Canterbury,Illiana Maldonado,(03)396-2283,(021)711-2979,Illiana.Maldonado@emailProvide.co.nz,60,786060,"N
1620,ILL83,Illiana Maldonado,187 Mllianamal Road,RD7,Waimate,South Canterbury,Illiana Maldonado,(03)396-2283,(021)711-2979,Illiana.Maldonado@emailProvide.co.nz,60,786060,"N
1621,ILL83,Illiana Maldonado,187 Mllianamal Road,RD7,Waimate,South Canterbury,Illiana Maldonado,(03)396-2283,(021)711-2979,Illiana.Maldonado@emailProvide.co.nz,60,786060,"N
1619,INA96,Ina Trading,4383 Batrading Road,RD11,Ashburton,Mid Canterbury,Ina Boyd,(03)507-7772,(021)779-6718,Ina.Trading@emailProvide.co.nz,80,467071,"N
1620,INA96,Ina Trading,4383 Batrading Road,RD11,Ashburton,Mid Canterbury,Ina Boyd,(03)507-7772,(021)779-6718,Ina.Trading@emailProvide.co.nz,80,467071,"N
1621,INA96,Ina Trading,4383 Batrading Road,RD11,Ashburton,Mid Canterbury,Ina Boyd,(03)507-7772,(021)779-6718,Ina.Trading@emailProvide.co.nz,80,467071,"N
1619,JOC56,Jocelyn Dickson,742 Dlynd Road,RD6,Timaru,South Canterbury,Jocelyn Dickson,(03)454-5318,(021)546-7391,Jocelyn.Dickson@emailProvide.co.nz,66,672837,"N
1620,JOC56,Jocelyn Dickson,742 Dlynd Road,RD6,Timaru,South Canterbury,Jocelyn Dickson,(03)454-5318,(021)546-7391,Jocelyn.Dickson@emailProvide.co.nz,66,672837,"N
1621,JOC56,Jocelyn Dickson,742 Dlynd Road,RD6,Timaru,South Canterbury,Jocelyn Dickson,(03)454-5318,(021)546-7391,Jocelyn.Dickson@emailProvide.co.nz,66,672837,"N
1619,JUL45,Juliet Hayes,4215 Hetha Road,RD13,Oamaru,North Otago,Juliet Hayes,(03)535-8097,(021)961-7593,Juliet.Hayes@emailProvide.co.nz,86,55102,"N
1620,JUL45,Juliet Hayes,4215 Hetha Road,RD13,Oamaru,North Otago,Juliet Hayes,(03)535-8097,(021)961-7593,Juliet.Hayes@emailProvide.co.nz,86,55102,"N
1621,JUL45,Juliet Hayes,4215 Hetha Road,RD13,Oamaru,North Otago,Juliet Hayes,(03)535-8097,(021)961-7593,Juliet.Hayes@emailProvide.co.nz,86,55102,"N
1619,KIR77,Kirk Cameron,3507 Ckcamer Road,RD4,Timaru,South Canterbury,Kirk Cameron,(03)015-1740,(021)799-3340,Kirk.Cameron@emailProvide.co.nz,32,"N,"N
1620,KIR77,Kirk Cameron,3507 Ckcamer Road,RD4,Timaru,South Canterbury,Kirk Cameron,(03)015-1740,(021)799-3340,Kirk.Cameron@emailProvide.co.nz,32,"N,"N
1621,KIR77,Kirk Cameron,3507 Ckcamer Road,RD4,Timaru,South Canterbury,Kirk Cameron,(03)015-1740,(021)799-3340,Kirk.Cameron@emailProvide.co.nz,32,"N,"N
1619,KYL15,Kylynn Trading,953 Slynntr Road,RD12,Oamaru,North Otago,Kylynn Santos,(03)033-2516,(021)760-4269,Kylynn.Trading@emailProvide.co.nz,34,44415,"N
1620,KYL15,Kylynn Trading,953 Slynntr Road,RD12,Oamaru,North Otago,Kylynn Santos,(03)033-2516,(021)760-4269,Kylynn.Trading@emailProvide.co.nz,34,44415,"N
1621,KYL15,Kylynn Trading,953 Slynntr Road,RD12,Oamaru,North Otago,Kylynn Santos,(03)033-2516,(021)760-4269,Kylynn.Trading@emailProvide.co.nz,34,44415,"N
1619,LEE46,Lee Chase,3924 Cchase Road,RD5,Oamaru,North Otago,Lee Chase,(03)390-2387,(021)762-7644,Lee.Chase@emailProvide.co.nz,59,523877,"N
1620,LEE46,Lee Chase,3924 Cchase Road,RD5,Oamaru,North Otago,Lee Chase,(03)390-2387,(021)762-7644,Lee.Chase@emailProvide.co.nz,59,523877,"N
1621,LEE46,Lee Chase,3924 Cchase Road,RD5,Oamaru,North Otago,Lee Chase,(03)390-2387,(021)762-7644,Lee.Chase@emailProvide.co.nz,59,523877,"N
1619,LES38,Lester Hayes,4177 Hterhayes Road,RD5,Oamaru,North Otago,Lester Hayes,(03)918-1908,(021)468-4405,Lester.Hayes@emailProvide.co.nz,"N,25400,"N
1620,LES38,Lester Hayes,4177 Hterhayes Road,RD5,Oamaru,North Otago,Lester Hayes,(03)918-1908,(021)468-4405,Lester.Hayes@emailProvide.co.nz,"N,25400,"N
1621,LES38,Lester Hayes,4177 Hterhayes Road,RD5,Oamaru,North Otago,Lester Hayes,(03)918-1908,(021)468-4405,Lester.Hayes@emailProvide.co.nz,"N,25400,"N
1620,LEV53,Lev Michael,2538 Mvmich Road,RD13,Waimate,South Canterbury,Lev Michael,(03)858-0638,(021)131-4734,Lev.Michael@emailProvide.co.nz,"N,87415,"N
1621,LEV53,Lev Michael,2538 Mvmich Road,RD13,Waimate,South Canterbury,Lev Michael,(03)858-0638,(021)131-4734,Lev.Michael@emailProvide.co.nz,"N,87415,"N
1619,LEV53,Lev Michael,2538 Mvmich Road,RD13,Waimate,South Canterbury,Lev Michael,(03)858-0638,(021)131-4734,Lev.Michael@emailProvide.co.nz,"N,87415,"N
1619,MAC97,Macdonald Farms,1925 Mcdonald Road,RD4,Waimate,South Canterbury,Yvette Macdonald,(03)497-7464,(021)242-3216,Macdonald.Farms@emailProvide.co.nz,77,517122,"N
1620,MAC97,Macdonald Farms,1925 Mcdonald Road,RD4,Waimate,South Canterbury,Yvette Macdonald,(03)497-7464,(021)242-3216,Macdonald.Farms@emailProvide.co.nz,77,517122,"N
1621,MAC97,Macdonald Farms,1925 Mcdonald Road,RD4,Waimate,South Canterbury,Yvette Macdonald,(03)497-7464,(021)242-3216,Macdonald.Farms@emailProvide.co.nz,77,517122,"N
1620,MAD58,Madaline Trading,3665 Falinetra Road,RD8,Timaru,South Canterbury,Madaline Farmer,(03)744-0830,(021)389-2475,Madaline.Trading@emailProvide.co.nz,"N,80268,"N
1621,MAD58,Madaline Trading,3665 Falinetra Road,RD8,Timaru,South Canterbury,Madaline Farmer,(03)744-0830,(021)389-2475,Madaline.Trading@emailProvide.co.nz,"N,80268,"N
1619,MAD58,Madaline Trading,3665 Falinetra Road,RD8,Timaru,South Canterbury,Madaline Farmer,(03)744-0830,(021)389-2475,Madaline.Trading@emailProvide.co.nz,"N,80268,"N
1619,MAD86,Madonna Valencia,3805 Vnnaval Road,RD7,Oamaru,North Otago,Madonna Valencia,(03)651-6332,(021)332-6106,Madonna.Valencia@emailProvide.co.nz,"N,"N,2
1620,MAD86,Madonna Valencia,3805 Vnnaval Road,RD7,Oamaru,North Otago,Madonna Valencia,(03)651-6332,(021)332-6106,Madonna.Valencia@emailProvide.co.nz,"N,"N,2
1620,MAD86,Madonna Valencia,3805 Vnnaval Road,RD7,Oamaru,North Otago,Madonna Valencia,(03)651-6332,(021)332-6106,Madonna.Valencia@emailProvide.co.nz,"N,"N,2
1620,MAR13,Mary Trading,1812 Mytradi Road,RD6,Oamaru,North Otago,Mary Maxwell,(03)769-0601,(021)784-4846,Mary.Trading@emailProvide.co.nz,"N,4106,"N
1621,MAR13,Mary Trading,1812 Mytradi Road,RD6,Oamaru,North Otago,Mary Maxwell,(03)769-0601,(021)784-4846,Mary.Trading@emailProvide.co.nz,"N,4106,"N
1619,MAR13,Mary Trading,1812 Mytradi Road,RD6,Oamaru,North Otago,Mary Maxwell,(03)769-0601,(021)784-4846,Mary.Trading@emailProvide.co.nz,"N,4106,"N
1619,MAR64,Marshall Leach,1572 Lrshalllea Road,RD10,Oamaru,North Otago,Marshall Leach,(03)357-4050,(021)548-9789,Marshall.Leach@emailProvide.co.nz,56,736199,"N
1620,MAR64,Marshall Leach,1572 Lrshalllea Road,RD10,Oamaru,North Otago,Marshall Leach,(03)357-4050,(021)548-9789,Marshall.Leach@emailProvide.co.nz,56,736199,"N
1621,MAR64,Marshall Leach,1572 Lrshalllea Road,RD10,Oamaru,North Otago,Marshall Leach,(03)357-4050,(021)548-9789,Marshall.Leach@emailProvide.co.nz,56,736199,"N
1619,MAR82,Marks Farms,2781 Mksfa Road,RD11,Oamaru,North Otago,Jescie Marks,(03)487-6821,(021)894-1904,Marks.Farms@emailProvide.co.nz,73,540910,"N
1620,MAR82,Marks Farms,2781 Mksfa Road,RD11,Oamaru,North Otago,Jescie Marks,(03)487-6821,(021)894-1904,Marks.Farms@emailProvide.co.nz,73,540910,"N
1621,MAR82,Marks Farms,2781 Mksfa Road,RD11,Oamaru,North Otago,Jescie Marks,(03)487-6821,(021)894-1904,Marks.Farms@emailProvide.co.nz,73,540910,"N
1620,MCK18,Mckee Farms,3021 Mckeefarm Road,RD15,Oamaru,North Otago,Alika Mckee,(03)743-2868,(021)908-8911,Mckee.Farms@emailProvide.co.nz,"N,35275,"N
1621,MCK18,Mckee Farms,3021 Mckeefarm Road,RD15,Oamaru,North Otago,Alika Mckee,(03)743-2868,(021)908-8911,Mckee.Farms@emailProvide.co.nz,"N,35275,"N
